1 | Network Settings | Şəbəkə Parametrləri
57 | Skip to toolbar | Alət çubuğuna keç
58 | Add | Əlavə et
59 | Add | Əlavə et
60 | Customize | Özəlləşdir
61 | Add | Əlavə et
62 | Pages | Səhifələr
63 | Add | Əlavə et
64 | My Site | Mənim saytım
65 | Help | Yardım
66 | %1$s: %2$s | %1$s: %2$s
67 | Saving… | Yazılır...
68 | Preview | Ön izləmə
69 | Preview | Ön izləmə
70 | Invalid key | Keçərsiz açar
71 | Settings | Parametrlər
72 | View | Bax
73 | Sorry, you are not allowed to preview drafts. | Üzr istəyirik, sizə qaralama layihələrə baxmağa icazə verilmir.
74 | Summary | Xülasə
75 | Hour | Saat
76 | Day | Gün
77 | There is no excerpt because this is a protected post. | Burada alıntı yoxdur çünki bu yazı parolla qorunur.
78 | List | Siyahı
79 | Help | Yardım
80 | Manage with Live Preview | Canlı önizləmə ilə idarə et
81 | Description | Açıqlama
82 | Try Again | Təkrar yoxlayın
83 | %1$s and %2$s | %1$s ve %2$s
84 | Subscriber | Abonent
85 | ACTIVE | Aktivləşdir
86 | Performance | Performans
87 | At A Glance | Ilk Baxışda
88 | Dashboard | Əsas Lövhə
89 | Settings | Parametrlər
90 | Profile | Profil
91 | Invalid image URL | Xətalı təsvir URL
92 | Or | və ya
93 | Print | Çap et
94 | Time | Vaxt
95 | Try again | Təkrar yoxlayın
96 | https://wordpress.org/ | https://wordpress.org/
97 | Get Started | Başlanğıc
98 | Remove image | Təsviri Sil
99 | Top | Üst
100 | Bottom | Alt
101 | Position | Mövqe
102 | Order | Sıralama
103 | Video | Video
104 | Link text | Bağlantı Mətni
105 | Caution: | Xəbərdarlıq:
106 | Open link in a new tab | Bağlantını yeni səkmədə aç
107 | %1$s (%2$s) | %1$s (%2$s)
108 | View post | Yazıya Bax
109 | %1$s (%2$s) | %1$s (%2$s)
110 | Month | Ay
111 | Year | İl
112 | [%1$s] Please moderate: "%2$s" | [%1$s] Lütfən nəzarət edin: "%2$s"
113 | Currently %s comment is waiting for approval. Please visit the moderation panel: | Hazırda %s ədəd şərh təsdiq üçün gözləyir. Lütfən nəzarət lövhəsini ziyarət edin:
114 | Approve it: %s | Təsdiqlə: %s
115 | A new comment on the post "%s" is waiting for your approval | "%s" yazısında yeni bir şərh təsdiqinizi gözləyir. 
116 | Pingback excerpt:  | Geri bildiriş xülasəsi:
117 | A new pingback on the post "%s" is waiting for your approval | "%s" yazısında yeni bir geri bildiriş təsdiqinizi gözləyir.
118 | Trackback excerpt:  | Xülasə geri izləməsi:
119 | A new trackback on the post "%s" is waiting for your approval | "%s" yazısında yeni bir geri izləmə təsdiqinizi gözləyir
120 | Spam it: %s | Spam olaraq işarələ: %s
121 | Delete it: %s | Sil: %s
122 | Trash it: %s | Zibil qutusuna göndər: %s
123 | Permalink: %s | Daimi bağlantı: %s
124 | [%1$s] Comment: "%2$s" | [%1$s] Şərh: "%2$s"
125 | You can see all comments on this post here: | Bu yazıya edilmiş şərhlərə buradan baxa bilərsiniz:
126 | Email: %s | E-poçt: %s
127 | New comment on your post "%s" | "%s" yazınızda yeni şərh
128 | [%1$s] Pingback: "%2$s" | [%1$s] Geri bildiriş: "%2$s"
129 | You can see all pingbacks on this post here: | Bu yazıya edilmiş geri bildirişlərin tamamına buradan baxa bilərsiniz:
130 | New pingback on your post "%s" | "%s" yazınızda yeni geri bildiriş
131 | [%1$s] Trackback: "%2$s" | [%1$s] Geri İzləmə: "%2$s"
132 | You can see all trackbacks on this post here: | Bu yazıya edilmiş geri izləmələrin tamamına buradan baxa bilərsiniz:
133 | Comment: %s | Şərh: %s
134 | URL: %s | URL: %s
135 | New trackback on your post "%s" | "%s" yazınızda yeni geri izləmə
136 | None | Heç biri
137 | Remove | Sil
138 | Post Type | Yazı Növü
139 | Taxonomy | Taksanomiya
140 | Your email | E-poçt ünvanınız
141 | Activity | Aktivlik
142 | You cannot delete a plugin while it is active on the main site. | Əsas səhifədə aktiv durumda ikən bu qoşmanı silə bilməzsiniz.
143 | Search | Axtar
144 | View Site | Sayta Bax
145 | Archives | Arxivlər
146 | Custom: | Fərdi:
147 | Caption | Başlıq
148 | Image URL | Təsvir URL-i
149 | Log Out | Çıxış
150 | Toolbar | Alət çubuğu
151 | Skip to toolbar | Alət çubuğuna keç
152 | Add | Əlavə et
153 | Add | Əlavə et
154 | Customize | Özəlləşdir
155 | Add | Əlavə et
156 | Pages | Səhifələr
157 | Add | Əlavə et
158 | My Site | Mənim saytım
159 | Help | Yardım
160 | %1$s: %2$s | %1$s: %2$s
161 | Saving… | Yazılır...
162 | Preview | Ön izləmə
163 | Preview | Ön izləmə
164 | Invalid key | Keçərsiz açar
165 | Settings | Parametrlər
166 | View | Bax
167 | Sorry, you are not allowed to preview drafts. | Üzr istəyirik, sizə qaralama layihələrə baxmağa icazə verilmir.
168 | Hour | Saat
169 | Day | Gün
170 | There is no excerpt because this is a protected post. | Burada alıntı yoxdur çünki bu yazı parolla qorunur.
171 | List | Siyahı
172 | Summary | Xülasə
173 | Help | Yardım
174 | Manage with Live Preview | Canlı önizləmə ilə idarə et
175 | Description | Açıqlama
176 | Try Again | Təkrar yoxlayın
177 | %1$s and %2$s | %1$s ve %2$s
178 | Dashboard | Əsas Lövhə
179 | Subscriber | Abonent
180 | Settings | Parametrlər
181 | ACTIVE | Aktivləşdir
182 | Performance | Performans
183 | At A Glance | Ilk Baxışda
184 | Profile | Profil
185 | Invalid image URL | Xətalı təsvir URL
186 | Or | və ya
187 | Print | Çap et
188 | Time | Vaxt
189 | Try again | Təkrar yoxlayın
190 | https://wordpress.org/ | https://wordpress.org/
191 | Get Started | Başlanğıc
