1 | Preview | पूर्वावलोकन
55 | Continue | सुरु ठेवा
56 | Import | आयात
57 | Code | कोड
58 | Template | टेमप्लेट 
59 | Themes | थीम्स
60 | Submit | सबमिट
61 | Editor | संपादक
62 | North Dakota | नॉर्थ डॅकोटा
63 | New York | न्यू यॉर्क
64 | Kentucky | केंटकी
65 | Indiana | इंडियाना
66 | Singapore | सिंगापोर
67 | San Marino | सॅन मरीनो
68 | Samoa | सॅमोआ
69 | Réunion | रीयुनियन
70 | Qatar | कतार
71 | Puerto Rico | प्युर्तो रिको
72 | Panama | पॅनामा
73 | Palau | पलाऊ
74 | Niue | न्यूई
75 | Nauru | नाऊरु
76 | Montserrat | मोंतसेर्रात
77 | Monaco | मोनॅको
78 | Mayotte | मेयोट्टे
79 | Mauritius | माॅरिशियस
80 | Martinique | मार्टीनिके
81 | Malta | माल्टा
82 | Maldives | माॅलडिव्स्
83 | Luxembourg | लक्समबर्ग
84 | Kuwait | कुवैट
85 | Jersey | जर्सी
86 | Jamaica | जमैका
87 | Isle of Man | आयल ऑफ मॅन
88 | Guyana | गुयाना
89 | Guernsey | गर्न्ज़ी
90 | Guatemala | गुआतेमाला
91 | Guam | गुअॅम
92 | Guadeloupe | ग्वाडेलूपे
93 | Grenada | ग्रेनॅडा
94 | Gibraltar | जिब्राल्टर
95 | Fiji | फीजी
96 | El Salvador | एल सॅलवॅडोर
97 | Dominica | डॉमिनिका
98 | Djibouti | जिबूटी
99 | Costa Rica | कोस्टा रीका
100 | Cape Verde | केप वर्दे
101 | Brunei | बृनेई
102 | Bermuda | बर्म्युडा
103 | Belize | बेलीझ
104 | Barbados |  बार्बाडॉस
105 | Bahrain | बाहरेन
106 | Australia | ऑस्ट्रेलिया
107 | Aruba | अरुबा
108 | Argentina | आर्जन्टिना
109 | Antarctica | अँटार्कटीका
110 | Anguilla | अँगुईल्ला
111 | Andorra | अॅनडोरा
112 | Post Formats | पोस्ट स्वरूप
113 | Navigation Menus | नॅव्हिगेशन मेनूज
114 | Image Sizes | प्रतिमा आकार
115 | Media | मीडिया
116 | User Roles | वापरकर्ता भूमिका
117 | Users | युझर्स
118 | Custom | सानुकूल
119 | Time Format | वेळ स्वरूप
120 | Date Format | तारीख स्वरूप
121 | Format | स्वरूप
122 | Media Library | मीडिया लायब्ररी
123 | of | च्या
124 | Current page | सध्याचे पेज
125 | Disable | अक्षम
126 | Enable | सक्षम
127 | Clear | स्पष्ट
128 | Cancel | रद्द करा
129 | Bulk Actions | मोठ्या प्रमाणात क्रिया
130 | Yes | होय
131 | saved | जतन केले
132 | View | पहा
133 | Edit %s | संपादित करा %s
134 | Items | आयटमस्
135 | Custom field deleted. | सानुकूल फील्ड काढून टाकली.
136 | Custom field updated. | सानुकूल फील्ड अपडेट झाले.
137 | Tools | टूल्स
138 | Description | वर्णन
139 | Category | कॅटेगरी
140 | by %s | %s द्वारे
141 | Visual | दिसणारं
142 | Advanced | प्रगत
143 | Export | निर्यात
144 | Reorder | पुनर्क्रमित
145 | Menu Location | मेनूची जागा 
146 | Public | सार्वजनिक
147 | help | मदत
148 | Advanced Options | प्रगत पर्याय
149 | Type | टाईप
150 | Settings | सेटिंग्स
151 | Add New | नवीन लिंक
152 | All | सर्व
153 | Delete | खोडून टाकणे
154 | ID | आयडी
155 | Save Changes | बदल जतन करा
156 | Search | शोधा
157 | Translations | अनुवाद
158 | Contributors | योगदानकर्ते
159 | Post Formats | पोस्ट स्वरूप
160 | Navigation Menus | नॅव्हिगेशन मेनूज
161 | Image Sizes | प्रतिमा आकार
162 | Media | मीडिया
163 | User Roles | वापरकर्ता भूमिका
164 | Users | युझर्स
165 | Preview | पूर्वावलोकन
166 | Or link to existing content | किंवा विद्यमान सामग्री लिंक
167 | Open link in a new tab | नवीन टॅबमध्ये लिंक उघडा 
168 | Link Text | लिंक मजकूर
169 | URL | URL
170 | Enter the destination URL | डेस्टीनेशन यूआरएल टाका
171 | OK | ठीक
172 | Active | सक्रिय
173 | Language | भाषा
174 | Select | निवडा
175 | List view | सूची पहा
176 | Link | लिंक
177 | Rows | ओळी
178 | Time format | वेळ स्वरूप
179 | %s item | %s आयटम
180 | Deselect | निवड रद्द करा
181 | Remove | काढा
182 | Copy | कॉपी
183 | Add | जोडा
184 | Version %s | आवृत्ती %s
185 | Use as featured Image | वैशिष्ट्यीकृत प्रतिमा म्हणून वापरा
186 | Remove featured Image | वैशिष्ट्यीकृत प्रतिमा काढून टाका
187 | Set featured Image | वैशिष्ट्यीकृत इमेज सेट करा
188 | Show more details | अधिक तपशील दर्शवा
189 | Website | वेबसाईट
190 | Time | वेळ
191 | Relationship | संबंध
192 | Password | पासवर्ड
193 | None | काहीही नाही
194 | Media File | मीडिया फाईल
195 | Attachment Page | अटेचमेंट पृष्ठ
196 | Date | दिनांक
197 | Use as featured image | वैशिष्ट्यीकृत प्रतिमा म्हणून वापरा
198 | Remove featured image | वैशिष्ट्यीकृत प्रतिमा काढून टाका
199 | Set featured image | वैशिष्ट्यीकृत इमेज सेट करा
200 | Allowed Files | अनुमती फाईल्स
201 | Select Color | रंग निवडा
202 | Default | मुलभूत
203 | Templates | टेंप्लेटस् (साचे)
204 | Insert | समाविष्ट करा
205 | Page Attributes | पृष्ठ(Page) गुणधर्म
206 | Custom Fields | सानुकूल फील्ड
207 | Featured Image | वैशिष्ट्यीकृत इमेज
208 | Title | शीर्षक
209 | Move | हलवा
210 | Configure | कोन्फिगर
211 | Last Modified | शेवटचा बदल
212 | Taxonomy Template | टॅक्सोनोमीचे टेम्प्लेट
213 | Save | जतन करा
214 | Capabilities | क्षमता
215 | %s User | %s वापरकर्ता
216 | Page | पृष्ठ
217 | Page Template | पेज टेमप्लेट
218 | Page Title | पृष्ठ शीर्षक
219 | Continue | सुरु ठेवा
220 | Import | आयात
221 | Code | कोड
222 | Template | टेमप्लेट 
223 | Themes | थीम्स
224 | Submit | सबमिट
225 | Editor | संपादक
226 | North Dakota | नॉर्थ डॅकोटा
227 | New York | न्यू यॉर्क
228 | Kentucky | केंटकी
229 | Indiana | इंडियाना
230 | Singapore | सिंगापोर
231 | San Marino | सॅन मरीनो
232 | Samoa | सॅमोआ
233 | Réunion | रीयुनियन
234 | Qatar | कतार
235 | Puerto Rico | प्युर्तो रिको
236 | Panama | पॅनामा
237 | Palau | पलाऊ
238 | Niue | न्यूई
239 | Nauru | नाऊरु
240 | Montserrat | मोंतसेर्रात
241 | Monaco | मोनॅको
242 | Mayotte | मेयोट्टे
243 | Mauritius | माॅरिशियस
244 | Martinique | मार्टीनिके
245 | Malta | माल्टा
246 | Maldives | माॅलडिव्स्
247 | Luxembourg | लक्समबर्ग
248 | Kuwait | कुवैट
249 | Jersey | जर्सी
250 | Jamaica | जमैका
251 | Isle of Man | आयल ऑफ मॅन
252 | Guyana | गुयाना
253 | Guernsey | गर्न्ज़ी
254 | Guatemala | गुआतेमाला
255 | Guam | गुअॅम
256 | Guadeloupe | ग्वाडेलूपे
257 | Grenada | ग्रेनॅडा
258 | Gibraltar | जिब्राल्टर
259 | Fiji | फीजी
260 | El Salvador | एल सॅलवॅडोर
261 | Dominica | डॉमिनिका
262 | Djibouti | जिबूटी
263 | Costa Rica | कोस्टा रीका
264 | Cape Verde | केप वर्दे
265 | Brunei | बृनेई
266 | Bermuda | बर्म्युडा
267 | Belize | बेलीझ
268 | Barbados |  बार्बाडॉस
269 | Bahrain | बाहरेन
270 | Australia | ऑस्ट्रेलिया
271 | Aruba | अरुबा
272 | Argentina | आर्जन्टिना
273 | Antarctica | अँटार्कटीका
274 | Anguilla | अँगुईल्ला
275 | Andorra | अॅनडोरा
276 | Post Formats | पोस्ट स्वरूप
277 | Navigation Menus | नॅव्हिगेशन मेनूज
278 | Image Sizes | प्रतिमा आकार
279 | Media | मीडिया
280 | User Roles | वापरकर्ता भूमिका
281 | Users | युझर्स
282 | Custom | सानुकूल
283 | Time Format | वेळ स्वरूप
284 | Date Format | तारीख स्वरूप
285 | Format | स्वरूप
286 | Media Library | मीडिया लायब्ररी
287 | of | च्या
288 | Current page | सध्याचे पेज
289 | Disable | अक्षम
290 | Enable | सक्षम
291 | Clear | स्पष्ट
292 | Cancel | रद्द करा
293 | Bulk Actions | मोठ्या प्रमाणात क्रिया
294 | Yes | होय
295 | saved | जतन केले
296 | View | पहा
297 | Edit %s | संपादित करा %s
298 | Items | आयटमस्
299 | Custom field deleted. | सानुकूल फील्ड काढून टाकली.
300 | Custom field updated. | सानुकूल फील्ड अपडेट झाले.
301 | Tools | टूल्स
302 | Description | वर्णन
303 | Category | कॅटेगरी
304 | by %s | %s द्वारे
305 | Visual | दिसणारं
306 | Advanced | प्रगत
307 | Export | निर्यात
308 | Reorder | पुनर्क्रमित
309 | Menu Location | मेनूची जागा 
310 | Public | सार्वजनिक
311 | help | मदत
312 | Advanced Options | प्रगत पर्याय
313 | Type | टाईप
314 | Settings | सेटिंग्स
315 | Add New | नवीन लिंक
316 | All | सर्व
317 | Delete | खोडून टाकणे
318 | ID | आयडी
319 | Save Changes | बदल जतन करा
320 | Search | शोधा
321 | Translations | अनुवाद
322 | Contributors | योगदानकर्ते
323 | Post Formats | पोस्ट स्वरूप
324 | Navigation Menus | नॅव्हिगेशन मेनूज
325 | Image Sizes | प्रतिमा आकार
326 | Media | मीडिया
327 | User Roles | वापरकर्ता भूमिका
328 | Users | युझर्स
