
buddypress | Post | लेख
buddypress | Page %s | पृष्ठ %s
buddypress | Upload | अपलोड
buddypress | &#8220;%s&#8221; has failed to upload. | &#8220;%s&#8221; अपलोड अयशस्वी झाले आहे.
buddypress | Crunching&hellip; | करण्चींग आणि हेल्लीप 
buddypress | Dismiss | घालवा
buddypress | Upload stopped. | अपलोड करणे थांबविले.
buddypress | File canceled. | फाइल रद्द केली.
buddypress | Security error. | सुरक्षितता त्रुटी.
buddypress | %s exceeds the maximum upload size for the multi-file uploader when used in your browser. | ब्राउझर वापरून मल्टी-फाइल अपलोडरची जास्तीत जास्त अपलोड आकार मर्यादा %s  ने ओलांडली आहे. 
buddypress | Please try uploading this file with the %1$sbrowser uploader%2$s. | ही फाइल अपलोड करण्याचा प्रयत्न करा %1$s ब्राउझर अपलोडर चा वापर करा %2$s.
buddypress | You may only upload 1 file. | तुम्ही फक्त 1 च फाइल अपलोड करू शकता.
buddypress | There was a configuration error. Please contact the server administrator. | कॉन्फिगरेशन त्रुटी. सर्व्हर प्रशासकाशी संपर्क साधा .
buddypress | This is larger than the maximum size. Please try another. | या कमाल आकार पेक्षा मोठा आहे. कृपया पुन्हा प्रयत्न करा.
buddypress | Memory exceeded. Please try another smaller file. | मेमरी ओलांडली. कृपया लहान फाइल प्रयत्न करा.
buddypress | This file is not an image. Please try another. | ही फाइल प्रतिमा नाही. कृपया पुन्हा प्रयत्न करा.
buddypress | This file type is not allowed. Please try another. | या फाइल प्रकाराला परवानगी नाही. आणखी एक प्रयत्न करा.
buddypress | %s exceeds the maximum upload size for this site. | %s या साइटसाठी जास्तीत जास्त अपलोड आकार मर्यादा ओलांडली आहे.
buddypress | You have attempted to queue too many files. | तुम्ही रांगेत खूप फाइल्स ठेवल्या आहेत
buddypress | For more information, see <a href="%s">the release notes</a>. | अधिक माहितीसाठी, <a href="%s"> रिलीज केलेल्या नोटस </a> पहा.
buddypress | <strong>Version %1$s</strong> addressed some security issues and fixed %2$s bug. | <strong> आवृत्ती %1$s </strong> काही सुरक्षितता समस्या आणि निश्चित %2$s बग संबोधित केले.
buddypress | <strong>Version %1$s</strong> addressed a security issue and fixed %2$s bug. | असामान्य: <strong> आवृत्ती%1$s </strong> सुरक्षा समस्येचे निराकरण आणि %2$s बगचे निर्धारण.
buddypress | <strong>Version %1$s</strong> addressed %2$s bug. | एकवचनी: <strong>आवृत्ती %1$s</strong>%2$s बग संबोधित केले.
buddypress | Maintenance and Security Release | देखभाल व सुरक्षा प्रकाशन
buddypress | Security Release | सुरक्षा प्रकाशन
buddypress | Maintenance Release | देखभाल प्रकाशन
buddypress | Credits | क्रेडिट
buddypress | Core Developer | कोर विकसक
buddypress | Lead Developer | आघाडी विकसक
buddypress | Project Leaders | प्रकल्पाचे नेते
buddypress | Available Tools | उपलब्ध साधनसामुग्री
buddypress | Tools | टूल्स
buddypress | General | सामान्य
buddypress | Add to Menu | मेनू जोडा
buddypress | BuddyPress | बडिप्रेस
buddypress | Must-Use <span class="count">(%s)</span> | वापरलंच पाहिजे <span class="count">(%s)</span>
buddypress | Inactive <span class="count">(%s)</span> | निष्क्रिय <span class="count">(%s)</span>
buddypress | Active <span class="count">(%s)</span> | सक्रिय <span class="count">(%s)</span>
buddypress | Title: | शीर्षक:
buddypress | %s site | %s साइट
buddypress | Visit Site | साईट ला भेट द्या
buddypress | Site Domain: | साईट डोमेन
buddypress | Site Name: | साईटच नाव:
buddypress | Sites | साईटस्
buddypress | Profile picture | परिचय चित्र
buddypress | Activity | अॅक्टिवेटी
buddypress | Activity | अॅक्टिवेटी
buddypress | Updates | अपडेटस्
buddypress | &hellip; | &hellip;
buddypress | Activity | अॅक्टिवेटी
buddypress | Spam <span class="count">(%s)</span> | स्पॅम <span class="count">(%s)</span>
buddypress | Search results for &#8220;%s&#8221; | &#8220;%s&#8221; च्या शोधाचे निकाल
buddypress | Activity | अॅक्टिवेटी
buddypress | Link | लिंक
buddypress | Update | अपडेट
