1 | Failed | Uğursuz
172 | %1$s at %2$s | %1$s tarixində, saat %2$s
173 | Lagos | Laqos
174 | Dublin | Dublin
175 | Installed | Qurulmuş
176 | Next | Sonrakı
177 | Previous | Öncəki
178 | File | Fayl
179 | Dashboard | Əsas Lövhə
180 | Dismiss | Gizlət
181 | Items | maddələr
182 | Invalid post ID. | Keçərsiz yazı ID.
183 | Samoa | Samoa
184 | Europe | Avropa
185 | Asia | Asiya
186 | Africa | Afrika
187 | Order | Sıralama
188 | Search for: | Axtarış:
189 | Confirm new password | Yeni parolu təsdiqlə
190 | Username or email | İstifadəçi adı və ya E-poçt
191 | Username or email address | İstifadəçi adı və ya E-poçt Ünvanı
192 | Order | Sıralama
193 | OR | və ya
194 | My account | Mənim hesabım
195 | Advanced options | Qabaqcıl Parametrlər
196 | Failed | Uğursuz
197 | Tags | Etiketlər
198 | Categories | Kateqoriyalar
199 | Templates | Şablonlar
200 | My account | Mənim hesabım
201 | Average rating | Ortalama rəy
202 | Background color | Arxa fon rəngi
203 | Header image | Başlıq təsviri
204 | Lost password | İtmiş Parol
205 | Add new | Yenisini əlavə et
206 | Select Page | Səhifə Seç
207 | Length | Uzunluq
208 | None | Heç biri
209 | Move to trash | Zibil qutusuna göndər
210 | m | BE
211 | g | G
212 | My account | Mənim hesabım
213 | Delete permanently | Birdəfəlik sil
214 | Add to menu | Menyuya əlavə et
215 | Education | Təhsil
216 | Salta | Salta
217 | Updating | Yenilənir
