1 | Count | मोजा
274 | Delete | खोडून टाकणे
275 | Attributes | विशेषता
276 | Update | अपडेट
277 | Type | टाईप
278 | Slug | स्लग
279 | Featured | वैशिष्ट्यपूर्ण
280 | Puerto Rico | प्युर्तो रिको
281 | Guam | गुअॅम
282 | Madrid | मॅड्रीड
283 | Screenshots | स्क्रीनशॉटस्
284 | Updating | अद्यतनित करीत आहे
